customer_id,risk_score,risk_bucket
C2104,0.289113975422816,Low Risk
C5763,0.8109431935624185,High Risk
C1195,0.35019485121829563,Medium Risk
C2777,0.5218645035832403,Medium Risk
C5698,0.8218863985374237,High Risk
C2672,0.4554986318563776,Medium Risk
C4777,0.3693103121400048,Medium Risk
C9780,0.5841194320394172,Medium Risk
C6510,0.8593341790532169,High Risk
C8392,0.878803747603727,High Risk
C4922,0.40887874542745345,Medium Risk
C6146,0.6995169358749128,High Risk
C2553,0.39977118161350256,Medium Risk
C6821,0.5430679870441677,Medium Risk
C4926,0.8355148631294563,High Risk
C1624,0.42312375335204505,Medium Risk
C7277,0.6790682393211513,High Risk
C9669,0.5290724338580131,Medium Risk
C3333,0.921148087915374,High Risk
C8657,0.3610464874803206,Medium Risk
C8602,0.9203128599300517,High Risk
C2393,0.36646353024963774,Medium Risk
C5165,0.533238406523904,Medium Risk
C6610,0.8815511035642274,High Risk
C8424,0.9173022254244487,High Risk
C1985,0.36791057993365045,Medium Risk
C9642,0.8005206204973381,High Risk
C8963,0.7144709636840177,High Risk
C9621,0.6253567967814,Medium Risk
C1565,0.6921839039775678,High Risk
C7862,0.3697678597731274,Medium Risk
C6930,0.5348190861913747,Medium Risk
C4007,0.8537596774539611,High Risk
C8241,0.4086816762875001,Medium Risk
C1717,0.4446249311958511,Medium Risk
C4059,0.5166417948206217,Medium Risk
C6749,0.7463680925143165,High Risk
C8953,0.8084936449945552,High Risk
C5703,0.4105350644743971,Medium Risk
C4873,0.6758549259046236,High Risk
C4126,0.7840787563476739,High Risk
C4488,0.5162270659785294,Medium Risk
C6221,0.5684173010790137,Medium Risk
C2407,0.41211146469594717,Medium Risk
C4387,0.41907907905926567,Medium Risk
C8647,0.5092359180161665,Medium Risk
C2487,0.7412458731085575,High Risk
C3246,0.39298534076286495,Medium Risk
C6962,0.4655748432742155,Medium Risk
C6280,0.7290343129424216,High Risk
C1747,0.534653940085925,Medium Risk
C8062,0.5751426646635943,Medium Risk
C2015,0.650714687622772,High Risk
C2413,0.3940414321132103,Medium Risk
C4373,0.4108200490200259,Medium Risk
C2909,0.41517555862951483,Medium Risk
C4548,0.42281966764935386,Medium Risk
C9466,0.4286684128368613,Medium Risk
C4104,0.46177158419848907,Medium Risk
C1187,0.7598048852414023,High Risk
C8289,0.478050944877347,Medium Risk
C8801,0.45796660171016196,Medium Risk
C8770,0.8637079302150522,High Risk
C2865,0.8013733122010027,High Risk
C5839,0.4246583806120455,Medium Risk
C5371,0.5552264386253941,Medium Risk
C9888,0.5066043750358207,Medium Risk
C4157,0.8211862803332535,High Risk
C6899,0.4261305551415377,Medium Risk
C6179,0.6756027861340187,High Risk
C5203,0.4915582866083182,Medium Risk
C1710,0.7545157316601312,High Risk
C4643,0.39751443109879037,Medium Risk
C9376,0.6373717514333753,Medium Risk
C2552,0.4651311201926146,Medium Risk
C3811,0.6153256665068221,Medium Risk
C3921,0.6689888538350491,High Risk
C9492,0.4826895285273945,Medium Risk
C1993,0.4116972940911482,Medium Risk
C2145,0.712728102269774,High Risk
C7142,0.5355645732393581,Medium Risk
C8378,0.5625934066939289,Medium Risk
C7053,0.6079286255009069,Medium Risk
C9833,0.5266241327093437,Medium Risk
C4869,0.6032680060089601,Medium Risk
C7628,0.5308005229882385,Medium Risk
C5600,0.5179119196915698,Medium Risk
C1193,0.8912535672921356,High Risk
C1470,0.8576576888127719,High Risk
C9685,0.5513364532947407,Medium Risk
C5616,0.5984368528644076,Medium Risk
C8026,0.4315991389278433,Medium Risk
C8753,0.6616268371949975,High Risk
C5091,0.8834515956218967,High Risk
C5528,0.5506959141721885,Medium Risk
C6068,0.7257260205316444,High Risk
C1880,0.6015067418136018,Medium Risk
C5953,0.4411088492231507,Medium Risk
C2138,0.4031754916273605,Medium Risk
C3307,0.6583297977324523,High Risk
C5663,0.6015012789579823,Medium Risk
C8115,0.5453450643921074,Medium Risk
C5444,0.7779974080184865,High Risk
C4859,0.5248017684737857,Medium Risk
C4334,0.672950030328577,High Risk
C9489,0.7950850622196575,High Risk
C8906,0.7699538682737324,High Risk
C9938,0.6423241871296361,Medium Risk
C9762,0.8234118193960397,High Risk
C9760,0.41080384317748425,Medium Risk
C4560,0.5550087170095401,Medium Risk
C2785,0.7979420491573812,High Risk
C2708,0.403849659364127,Medium Risk
C2675,0.3461619142330862,Low Risk
C9962,0.32695095052790396,Low Risk
C8705,0.8564843492313697,High Risk
C7774,0.37920689545859276,Medium Risk
C6262,0.45022151272180955,Medium Risk
C1040,0.8040853301819216,High Risk
C6916,0.8668405921368126,High Risk
C3779,0.8284061866264446,High Risk
C7727,0.40476960663786676,Medium Risk
C7768,0.437517043960322,Medium Risk
C6503,0.3509216568011756,Medium Risk
C1852,0.36076463120922664,Medium Risk
C1269,0.4101263262871027,Medium Risk
C2624,0.8294929094621981,High Risk
C2026,0.39152217816159585,Medium Risk
C9586,0.535561276071684,Medium Risk
C7533,0.36824106601347684,Medium Risk
C8069,0.3878978502288366,Medium Risk
C4633,0.4832396306519957,Medium Risk
C9131,0.46428765899891394,Medium Risk
C4966,0.72418673434886,High Risk
C5826,0.3636842015660222,Medium Risk
C5882,0.3662414084757676,Medium Risk
C6934,0.6181523271057059,Medium Risk
C6339,0.8136485823072158,High Risk
C8501,0.37391382549638946,Medium Risk
C7957,0.39688350676049156,Medium Risk
C5036,0.5472372709210598,Medium Risk
C4616,0.4048736367960417,Medium Risk
C9738,0.6311319761446933,Medium Risk
C9415,0.39323850787764814,Medium Risk
C9123,0.7677021430153896,High Risk
C9629,0.40439661683847744,Medium Risk
C8652,0.6218546637140697,Medium Risk
C9640,0.4231642350580374,Medium Risk
C1946,0.47138652873366693,Medium Risk
C3607,0.578762556147414,Medium Risk
C2377,0.62960820223909,Medium Risk
C6433,0.472848514224939,Medium Risk
C9581,0.6229535308666524,Medium Risk
C7213,0.4784240469262371,Medium Risk
C5230,0.4436686593069096,Medium Risk
C6991,0.7607531454540394,High Risk
C2474,0.45098192918340607,Medium Risk
C5331,0.36748526021036637,Medium Risk
C9496,0.5329768724076417,Medium Risk
C5977,0.5510757543328516,Medium Risk
C8726,0.7126435461815903,High Risk
C4538,0.6740061500776097,High Risk
C1322,0.8177062358278602,High Risk
C4391,0.4526513444566422,Medium Risk
C7790,0.47346903804116874,Medium Risk
C8767,0.5876022910510771,Medium Risk
C4815,0.5693242221405878,Medium Risk
C9478,0.4963076326449165,Medium Risk
C2419,0.502379859242161,Medium Risk
C2947,0.4137738081929079,Medium Risk
C6098,0.38856089029914526,Medium Risk
C4973,0.6523862469901883,High Risk
C1934,0.4191011756943754,Medium Risk
C2769,0.4283702568474128,Medium Risk
C5502,0.44244002491026213,Medium Risk
C7090,0.4367514466169679,Medium Risk
C7923,0.5104516094290732,Medium Risk
C7928,0.6887005990619464,High Risk
C3661,0.5439913165773667,Medium Risk
C6129,0.3675411458574618,Medium Risk
C9670,0.487698088373612,Medium Risk
C1818,0.42070024754693297,Medium Risk
C3362,0.7192737499023976,High Risk
C5532,0.790091702821933,High Risk
C9813,0.491639163653896,Medium Risk
C4537,0.6794182771408284,High Risk
C9963,0.5669679419258662,Medium Risk
C8394,0.770884643333422,High Risk
C5226,0.7403682651677531,High Risk
C2949,0.3712262549182069,Medium Risk
C3349,0.38430439154248064,Medium Risk
C4840,0.3766421120975697,Medium Risk
C2418,0.41200083169132906,Medium Risk
C4961,0.35557313627339154,Medium Risk
C9390,0.5296103400624947,Medium Risk
C6715,0.4215718026753045,Medium Risk
C2828,0.5819576457354734,Medium Risk
C7904,0.7408876461427591,High Risk
C8559,0.44416839133423525,Medium Risk
C2641,0.42676436232166337,Medium Risk
C2799,0.8324992719824177,High Risk
C1657,0.5325404428561197,Medium Risk
C2364,0.5528711902174087,Medium Risk
C3203,0.554589618640984,Medium Risk
C3460,0.627036352761087,Medium Risk
C8429,0.5418492322546927,Medium Risk
C4635,0.41091187970226867,Medium Risk
C8769,0.7199731945467669,High Risk
C2732,0.5679193934375253,Medium Risk
C8867,0.42116724303907715,Medium Risk
C5085,0.6484922353020681,Medium Risk
C2013,0.4697163144160704,Medium Risk
C8435,0.6260131306486096,Medium Risk
C3204,0.6672627146739925,High Risk
C9393,0.37159418142573447,Medium Risk
C6977,0.35199986769656527,Medium Risk
C2046,0.42008799824113047,Medium Risk
C7746,0.7141386959942544,High Risk
C4296,0.41218314494851566,Medium Risk
C5544,0.41018705114056664,Medium Risk
C9392,0.35865140467341783,Medium Risk
C5937,0.43226135570888485,Medium Risk
C6055,0.6151827479910573,Medium Risk
C3107,0.7517023395537695,High Risk
C1223,0.6521116797259892,High Risk
C5759,0.6190040792851677,Medium Risk
C1539,0.6630812022773095,High Risk
C5741,0.6020864739667474,Medium Risk
C3150,0.7616595875788118,High Risk
C7425,0.7625845147194438,High Risk
C9125,0.7416672967930673,High Risk
C4837,0.39797778651660526,Medium Risk
C1902,0.7562068495441819,High Risk
C8516,0.37609011312050067,Medium Risk
C2440,0.43772812883635254,Medium Risk
C6386,0.39133417157940176,Medium Risk
C8343,0.43792298008373287,Medium Risk
C1983,0.6707221506625392,High Risk
C2367,0.3666856004969307,Medium Risk
C6082,0.397124507168935,Medium Risk
C5184,0.6272380786304892,Medium Risk
C8617,0.7695861290577759,High Risk
C7278,0.48359904853937113,Medium Risk
C9868,0.5530110021407253,Medium Risk
C8105,0.3706245632542715,Medium Risk
C9416,0.7890728108516266,High Risk
C3252,0.43001781299612385,Medium Risk
C8173,0.670461263547191,High Risk
C8873,0.7999679706524564,High Risk
C6575,0.780863450620795,High Risk
C8502,0.37718211112648115,Medium Risk
C6769,0.7813676586279921,High Risk
C6540,0.35881962759019975,Medium Risk
C3882,0.762331442583521,High Risk
C9277,0.43946790810016867,Medium Risk
C2270,0.3494068081600641,Low Risk
C4532,0.4121878373324524,Medium Risk
C5106,0.5141643414102278,Medium Risk
C8853,0.34530756038030247,Low Risk
C5493,0.7493138147765096,High Risk
C9774,0.528586040839248,Medium Risk
C1541,0.41958202572488174,Medium Risk
C9405,0.5034522350439224,Medium Risk
C7341,0.7423596859004318,High Risk
C7938,0.7099147752618078,High Risk
C1419,0.6127943750382354,Medium Risk
C9829,0.782758366299119,High Risk
C4704,0.36431530124406436,Medium Risk
C4481,0.3953460145276725,Medium Risk
C9199,0.40769761949690714,Medium Risk
C8184,0.3722590421929847,Medium Risk
C3016,0.37667182188628107,Medium Risk
C2034,0.48401863120181043,Medium Risk
C4978,0.39985189394472953,Medium Risk
C6587,0.43830207026024187,Medium Risk
C4539,0.34832976675114385,Low Risk
C5084,0.5307523558902048,Medium Risk
C6858,0.6638442407579558,High Risk
C4461,0.3244129639254407,Low Risk
C5061,0.7528140648419841,High Risk
C1640,0.34966263034464595,Low Risk
C5992,0.7206089852504124,High Risk
C2019,0.5787289452861231,Medium Risk
C4552,0.6711943457551829,High Risk
C5757,0.40237758118398953,Medium Risk
C1390,0.3523592041753226,Medium Risk
C7954,0.3248259154673536,Low Risk
C7631,0.49866490039639233,Medium Risk
C1264,0.5080315426327311,Medium Risk
C6708,0.4458470913370436,Medium Risk
C3897,0.7214039450097767,High Risk
C6851,0.5013420409291445,Medium Risk
C2731,0.378493675335999,Medium Risk
C1965,0.5736805967121199,Medium Risk
C2193,0.33220496786820536,Low Risk
C4074,0.7204914189632895,High Risk
C3470,0.4972908409732877,Medium Risk
C8550,0.5957394526593651,Medium Risk
C5783,0.3913556051759757,Medium Risk
C4319,0.3754085318900898,Medium Risk
C8729,0.41795767950659085,Medium Risk
C8377,0.44072815697882317,Medium Risk
C5094,0.7320410650831102,High Risk
C1161,0.34769784030294854,Low Risk
C6090,0.7404871969870693,High Risk
C8159,0.7163465163884423,High Risk
C6341,0.41979944570237887,Medium Risk
C4120,0.5446980747240394,Medium Risk
C7125,0.6971490446793731,High Risk
C3646,0.3787075155129328,Medium Risk
C8590,0.45061537404829916,Medium Risk
C2638,0.3408040234640016,Low Risk
C9380,0.7057717757372853,High Risk
C7056,0.39428187046098484,Medium Risk
C5326,0.32569013329771923,Low Risk
C1249,0.3883429369604394,Medium Risk
C9111,0.3330772784208275,Low Risk
C7624,0.47673187447026255,Medium Risk
C9092,0.38760412946531925,Medium Risk
C9771,0.5955774955876438,Medium Risk
C1241,0.771814247642858,High Risk
C1442,0.4515132211449571,Medium Risk
C3645,0.4802511020496501,Medium Risk
C6721,0.6840246376590959,High Risk
C1063,0.5394898208188252,Medium Risk
C9433,0.7670813439940415,High Risk
C5651,0.3248123787540369,Low Risk
C4541,0.4763288475025518,Medium Risk
C7483,0.3519857629478974,Medium Risk
C7426,0.38584724866075526,Medium Risk
C9824,0.7027737790059939,High Risk
C8416,0.35782391214448167,Medium Risk
C8000,0.7862020331801567,High Risk
C8109,0.48061700926657863,Medium Risk
C1611,0.3291019289529602,Low Risk
C6866,0.32830217916234045,Low Risk
C7200,0.6632492697339085,High Risk
C4728,0.3744529651748812,Medium Risk
C1133,0.3991202903228392,Medium Risk
C5360,0.3273135461596875,Low Risk
C7085,0.616254312714068,Medium Risk
C4656,0.3409296717474535,Low Risk
C4909,0.3559748325697575,Medium Risk
C7850,0.6439719646792429,Medium Risk
C7759,0.3517421347325694,Medium Risk
C5042,0.42724990059129897,Medium Risk
C9452,0.35042501030157036,Medium Risk
C6634,0.38227062300204356,Medium Risk
C2441,0.687290131157413,High Risk
C6361,0.4039169731212931,Medium Risk
C9163,0.6765544526790281,High Risk
C5873,0.36930113088584715,Medium Risk
C9859,0.45783715476662823,Medium Risk
C3001,0.7595681575264494,High Risk
C6135,0.5867973753732434,Medium Risk
C5421,0.5951920980103711,Medium Risk
C6025,0.5492909108500591,Medium Risk
C8321,0.3403073979757968,Low Risk
C3809,0.7076318310859002,High Risk
C5282,0.5550859460486798,Medium Risk
C4094,0.5465769862155998,Medium Risk
C2209,0.3554331022238162,Medium Risk
C4519,0.3564766034505467,Medium Risk
C6950,0.3618057723479356,Medium Risk
C7182,0.3630266577830987,Medium Risk
C4083,0.3485377671910378,Low Risk
C1162,0.6500229186995681,High Risk
C8696,0.36501795347257515,Medium Risk
C5895,0.49693220155817175,Medium Risk
C9854,0.35375074645196924,Medium Risk
C9089,0.3233639615265306,Low Risk
C7167,0.36015244257435397,Medium Risk
C8445,0.42367149435900514,Medium Risk
C8290,0.36750608061556733,Medium Risk
C6008,0.3891304447706996,Medium Risk
C1353,0.4087637777252214,Medium Risk
C2895,0.34252045178564744,Low Risk
C2069,0.4829427824238919,Medium Risk
C4914,0.3422752238027721,Low Risk
C2837,0.43788099103893063,Medium Risk
C2460,0.7300068415799522,High Risk
C3036,0.39180091696963953,Medium Risk
C3870,0.392853850862926,Medium Risk
C6376,0.7606065238759966,High Risk
C7375,0.5526624259636856,Medium Risk
C3807,0.3464922353751597,Low Risk
C5028,0.7604692494620713,High Risk
C7455,0.6773265243057011,High Risk
C8061,0.7509635842921102,High Risk
C3414,0.40039462108721247,Medium Risk
C3867,0.6973492962340472,High Risk
C4911,0.4828008257602897,Medium Risk
C7825,0.7309063895806207,High Risk
C3858,0.39313590928942604,Medium Risk
C5299,0.7392860105413914,High Risk
C4252,0.3738399857641138,Medium Risk
C6360,0.6649817218444465,High Risk
C9235,0.34583426950876106,Low Risk
C8671,0.7077723837195304,High Risk
C6871,0.38212468243691594,Medium Risk
C8599,0.3881033910919828,Medium Risk
C6027,0.7550212228763875,High Risk
C7416,0.5170572614348692,Medium Risk
C6906,0.5723881760416452,Medium Risk
C6741,0.36234145770858506,Medium Risk
C2585,0.35149156124472614,Medium Risk
C6392,0.7659948716109793,High Risk
C5775,0.5373797504802489,Medium Risk
C3843,0.7451621708405334,High Risk
C9357,0.3442028373507936,Low Risk
C6197,0.3887578347362269,Medium Risk
C5781,0.3880130989503428,Medium Risk
C2819,0.5481006577490006,Medium Risk
C2563,0.34138714268167963,Low Risk
C3633,0.7173552685003537,High Risk
C4274,0.7245704157401275,High Risk
C2189,0.37644591897303203,Medium Risk
C2033,0.5173504671487212,Medium Risk
C7101,0.34438654278072134,Low Risk
C9620,0.5630115783233032,Medium Risk
C6193,0.37816599949640617,Medium Risk
C6040,0.5464298887103299,Medium Risk
C6775,0.33963455611156873,Low Risk
C5946,0.3886982102216271,Medium Risk
C2306,0.5636302925621816,Medium Risk
C4273,0.37807756883172516,Medium Risk
C4127,0.5171842952087914,Medium Risk
C7337,0.6630420708935567,High Risk
C1491,0.3825480818547727,Medium Risk
C3321,0.3423283541798836,Low Risk
C1164,0.37048909727834445,Medium Risk
C8609,0.36955425674991227,Medium Risk
C6428,0.5438235839579039,Medium Risk
C3639,0.3665719402198489,Medium Risk
C2896,0.37241776807076743,Medium Risk
C9645,0.339072124886804,Low Risk
C7587,0.539257949204788,Medium Risk
C5647,0.49031117348903375,Medium Risk
C9115,0.6294664204766443,Medium Risk
C7405,0.4851515950227529,Medium Risk
C9744,0.6282616070759446,Medium Risk
C2131,0.33631664065510847,Low Risk
C4550,0.47846278226892475,Medium Risk
C5617,0.5023474239005937,Medium Risk
C5305,0.4736979681979224,Medium Risk
C1825,0.48510862082142536,Medium Risk
C1415,0.4701802117455665,Medium Risk
C6232,0.6148947874963677,Medium Risk
C4235,0.45993568825630765,Medium Risk
C8627,0.31868348528928825,Low Risk
C9593,0.47811211459391006,Medium Risk
C8663,0.6135274058000024,Medium Risk
